signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,position_type,metric,value
n,Under20p,moreN,diff,under2p,2to9,양방향,양쪽 다 털기,15.3347
n,Under20p,moreN,diff,under2p,2to9,양방향,양쪽 부분 털기,5.2186
n,Under20p,moreN,diff,under2p,2to9,양방향,횡보,23.4836
n,Under20p,moreN,diff,under2p,2to9,양방향,한쪽 박살,32.4063
n,Under20p,moreN,diff,under2p,2to9,롱,완전 익절,45.6832
n,Under20p,moreN,diff,under2p,2to9,롱,부분 익절,12.3871
n,Under20p,moreN,diff,under2p,2to9,롱,손실 전체,41.9297
n,Under20p,moreN,diff,under2p,2to9,롱,익절선보다 큰 손실,16.8385
n,Under20p,moreN,diff,under2p,2to9,롱,손실 평균,-2.1523
n,Under20p,moreN,diff,under2p,2to9,롱,손실 중위값,-1.556
n,Under20p,moreN,diff,under2p,2to9,숏,완전 익절,46.168
n,Under20p,moreN,diff,under2p,2to9,숏,부분 익절,14.1266
n,Under20p,moreN,diff,under2p,2to9,숏,손실 전체,39.7054
n,Under20p,moreN,diff,under2p,2to9,숏,익절선보다 큰 손실,15.5678
n,Under20p,moreN,diff,under2p,2to9,숏,손실 평균,2.3643
n,Under20p,moreN,diff,under2p,2to9,숏,손실 중위값,1.4773
n,Under20p,moreN,diff,over2p,2to9,양방향,양쪽 다 털기,26.3487
n,Under20p,moreN,diff,over2p,2to9,양방향,양쪽 부분 털기,4.7961
n,Under20p,moreN,diff,over2p,2to9,양방향,횡보,12.9776
n,Under20p,moreN,diff,over2p,2to9,양방향,한쪽 박살,35.8914
n,Under20p,moreN,diff,over2p,2to9,롱,완전 익절,53.5538
n,Under20p,moreN,diff,over2p,2to9,롱,부분 익절,5.64
n,Under20p,moreN,diff,over2p,2to9,롱,손실 전체,40.8063
n,Under20p,moreN,diff,over2p,2to9,롱,익절선보다 큰 손실,22.1194
n,Under20p,moreN,diff,over2p,2to9,롱,손실 평균,-2.8917
