signal_t,numsig_ratio,num_PvsN,t-1vst,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
n,Under20p,moreN,same,2to9,OtoC,110019.0,226.2517,43893.6922,-75.0,-1.7491,0.0,1.5527,9658788.8889,198.2549,40020.3651,0.033
n,Under20p,moreN,same,2to9,OtoH,110019.0,644.8377,124868.7295,0.0,0.7626,1.8703,3.4499,27777677.7778,199.5758,40659.706,0.0269
n,Under20p,moreN,same,2to9,OtoL,110019.0,-2.6716,3.3192,-99.9735,-3.472,-1.8843,-0.7021,0.0,-5.2373,60.8557,0.0277
n,Under20p,moreN,same,2to9,LtoH,110019.0,1713.4965,326365.8916,0.0,2.6316,4.3085,6.9374,62499900.0,191.4932,36668.7638,0.0431
n,Under20p,moreN,same,2to9,OC/LH,109987.0,0.6256,50.1029,-99.9678,-39.6704,0.0,40.3673,100.0,0.0746,-0.8871,0.8004
n,Under20p,moreP,diff,2to9,OtoC,18446.0,-0.3158,5.2387,-79.4138,-2.5073,-0.5757,1.3501,76.5878,1.6366,30.7247,0.0386
n,Under20p,moreP,diff,2to9,OtoH,18446.0,3.8366,5.7917,0.0,0.89,2.1964,4.6128,124.7608,6.3626,73.8122,0.0372
n,Under20p,moreP,diff,2to9,OtoL,18446.0,-3.3311,3.5186,-80.0847,-4.3922,-2.4394,-1.1627,0.0,-4.7913,60.2953,0.0323
n,Under20p,moreP,diff,2to9,LtoH,18446.0,7.6088,8.9565,0.2908,3.6154,5.6818,9.1017,405.3191,16.3366,547.8217,0.0549
n,Under20p,moreP,diff,2to9,OC/LH,18446.0,-8.7751,46.69,-99.0476,-47.4687,-13.6426,27.129,100.0,0.2769,-0.8928,0.746
n,Over20p,moreN,same,2to9,OtoC,55097.0,1.0809,4.9784,-39.1104,-1.0062,0.6623,2.6361,169.0988,2.7736,51.6144,0.0364
n,Over20p,moreN,same,2to9,OtoH,55097.0,3.6689,5.3898,0.0,0.9902,2.1543,4.4104,285.456,8.8682,253.5264,0.0342
n,Over20p,moreN,same,2to9,OtoL,55097.0,-3.2,4.6979,-99.9962,-3.8149,-1.6383,-0.5978,0.0,-4.0471,30.0326,0.0322
n,Over20p,moreN,same,2to9,LtoH,55097.0,59.924,12269.1495,0.0,2.948,4.8512,8.3411,2879900.0,234.724,55095.8938,0.0539
n,Over20p,moreN,same,2to9,OC/LH,55095.0,15.0833,47.4479,-99.9943,-23.4427,18.4818,55.2795,100.0,-0.2067,-0.9869,0.7872
n,Over20p,moreP,same,2to9,OtoC,573.0,4.4879,31.4966,-44.4444,0.0,2.329,5.8361,736.0,21.9835,511.0467,0.0584
n,Over20p,moreP,same,2to9,OtoH,573.0,11.1205,100.3476,0.0,2.1479,4.3743,8.5762,2400.0,23.6704,564.4106,0.0643
n,Over20p,moreP,same,2to9,OtoL,573.0,-3.4299,5.0502,-45.1389,-3.767,-1.658,-0.6079,0.0,-3.5332,18.5601,0.0316
n,Over20p,moreP,same,2to9,LtoH,573.0,15.3883,100.7144,0.0,4.5928,7.5834,13.6808,2400.0,23.2983,552.2181,0.0909
n,Over20p,moreP,same,2to9,OC/LH,572.0,30.0845,47.0069,-98.4177,0.0,40.3328,68.8876,100.0,-0.7036,-0.3798,0.6889
p,Under20p,moreP,same,2to9,OtoC,164697.0,15.5988,6482.0394,-89.1697,-2.558,-0.7052,1.1979,2630596.9697,405.8284,164696.7931,0.0376
p,Under20p,moreP,same,2to9,OtoH,164697.0,49.6382,18667.1195,0.0,0.7261,1.9773,4.3075,7575657.5758,405.8287,164696.9626,0.0358
p,Under20p,moreP,same,2to9,OtoL,164697.0,-3.1386,3.0666,-89.8917,-4.1409,-2.3802,-1.1947,0.0,-3.7904,39.8951,0.0295
p,Under20p,moreP,same,2to9,LtoH,164697.0,386.6042,154005.5703,0.0,3.3963,5.2731,8.4069,62499900.0,405.8288,164696.9991,0.0501
p,Under20p,moreP,same,2to9,OC/LH,164686.0,-12.1153,47.6527,-99.8668,-51.9299,-17.4299,25.3378,100.0,0.301,-0.9041,0.7727
p,Over20p,moreN,diff,2to9,OtoC,395.0,4.9965,9.361,-30.4243,-0.6739,3.2335,9.6557,52.4762,0.9455,2.6011,0.1033
p,Over20p,moreN,diff,2to9,OtoH,395.0,10.1146,10.2921,0.0,2.5658,6.8917,13.7995,61.9416,1.8326,4.088,0.1123
p,Over20p,moreN,diff,2to9,OtoL,395.0,-4.4927,4.7377,-35.9629,-6.1818,-3.1019,-1.1073,0.0,-2.2912,8.3889,0.0507
p,Over20p,moreN,diff,2to9,LtoH,395.0,15.6153,12.8372,1.8411,7.0268,12.0911,19.1674,83.4448,2.195,6.028,0.1214
p,Over20p,moreN,diff,2to9,OC/LH,395.0,25.161,45.4719,-93.7775,-9.8414,34.9235,63.4039,100.0,-0.4935,-0.751,0.7325
n,Over20p,moreN,diff,2to9,OtoC,24081.0,0.8588,4.9967,-55.9792,-1.1458,0.6177,2.5347,198.4225,4.88,139.3104,0.0368
n,Over20p,moreN,diff,2to9,OtoH,24081.0,3.7711,5.6303,0.0,1.2057,2.3512,4.5388,245.4381,11.01,292.1137,0.0333
n,Over20p,moreN,diff,2to9,OtoL,24081.0,-3.2814,4.3441,-81.6102,-4.1873,-1.9678,-0.6732,0.0,-3.9382,29.5245,0.0351
n,Over20p,moreN,diff,2to9,LtoH,24081.0,7.58,9.4976,0.0,3.4398,5.3286,8.6543,447.6983,13.9026,409.7366,0.0521
n,Over20p,moreN,diff,2to9,OC/LH,24080.0,12.4012,45.7633,-99.3094,-23.7981,14.3689,49.6474,100.0,-0.1316,-0.9225,0.7345
p,Over20p,moreP,diff,2to9,OtoC,30623.0,0.9473,4.3438,-47.5235,-1.0643,0.5782,2.5432,178.8774,6.2641,201.4693,0.0361
p,Over20p,moreP,diff,2to9,OtoH,30623.0,3.5775,4.5852,0.0,1.1745,2.4194,4.546,231.2073,10.1898,317.636,0.0337
p,Over20p,moreP,diff,2to9,OtoL,30623.0,-2.5791,3.2349,-98.2235,-3.2919,-1.7065,-0.7514,0.0,-4.8029,53.9027,0.0254
p,Over20p,moreP,diff,2to9,LtoH,30623.0,6.6661,36.3738,0.0,3.2852,4.8533,7.3051,6257.6159,165.8272,28486.6414,0.0402
p,Over20p,moreP,diff,2to9,OC/LH,30621.0,11.8363,47.3756,-99.848,-25.2633,14.4992,51.4501,100.0,-0.2025,-0.9538,0.7671
n,Over20p,moreP,diff,2to9,OtoC,286.0,2.5541,8.5487,-20.3085,-1.3763,1.8449,6.0835,101.8231,5.5933,63.3349,0.0746
n,Over20p,moreP,diff,2to9,OtoH,286.0,7.3613,8.7936,0.0,2.2892,5.876,9.3677,108.0339,5.9398,60.5654,0.0708
n,Over20p,moreP,diff,2to9,OtoL,286.0,-4.3158,5.2153,-48.3333,-5.6421,-2.651,-1.0562,0.0,-3.3286,19.4291,0.0459
n,Over20p,moreP,diff,2to9,LtoH,286.0,12.6858,13.8075,1.3256,6.2516,9.3392,16.0962,173.5484,7.0676,72.4452,0.0984
n,Over20p,moreP,diff,2to9,OC/LH,286.0,17.5779,46.1551,-92.0,-16.7805,23.3655,52.8939,98.6014,-0.3341,-0.7448,0.6967
n,Under20p,moreN,diff,2to9,OtoC,115486.0,24.4169,8352.0241,-67.9054,-2.0669,-0.2924,1.3754,2838287.0968,339.8322,115485.9343,0.0344
n,Under20p,moreN,diff,2to9,OtoH,115486.0,72.9797,23730.5662,0.0,0.7752,1.9115,3.8375,8064416.129,339.8323,115485.9902,0.0306
n,Under20p,moreN,diff,2to9,OtoL,115486.0,-2.813,3.0682,-99.9966,-3.7455,-2.0445,-0.8977,0.0,-4.4955,53.793,0.0285
n,Under20p,moreN,diff,2to9,LtoH,115486.0,573.6028,184128.6376,0.0,3.0191,4.7685,7.5058,62499900.0,338.6827,114948.6852,0.0449
n,Under20p,moreN,diff,2to9,OC/LH,115480.0,-5.1822,48.3191,-99.9722,-45.281,-8.1922,33.2667,100.0,0.1865,-0.952,0.7855
p,Under20p,moreP,diff,2to9,OtoC,129193.0,-0.2727,4.7089,-76.3584,-2.2127,-0.4667,1.1961,467.4419,10.8111,823.6429,0.0341
p,Under20p,moreP,diff,2to9,OtoH,129193.0,3.1513,5.4228,0.0,0.639,1.8022,3.7435,504.6512,17.1538,967.8873,0.031
p,Under20p,moreP,diff,2to9,OtoL,129193.0,-2.8176,2.864,-76.5657,-3.7304,-2.1277,-1.0135,0.0,-4.1022,48.2986,0.0272
p,Under20p,moreP,diff,2to9,LtoH,129193.0,6.2458,6.9789,0.0,2.9038,4.6813,7.4838,543.5644,17.1591,754.1843,0.0458
p,Under20p,moreP,diff,2to9,OC/LH,129149.0,-9.7339,49.2245,-99.964,-50.3263,-12.5714,27.7494,100.0,0.2566,-0.8403,0.7808
p,Under20p,moreN,same,2to9,OtoC,38099.0,-0.7042,5.8349,-84.7415,-3.2569,-1.0536,1.083,129.6474,2.5042,32.3798,0.0434
p,Under20p,moreN,same,2to9,OtoH,38099.0,4.2553,8.2715,0.0,0.7994,2.2086,4.9955,505.3269,21.8102,1087.8792,0.042
p,Under20p,moreN,same,2to9,OtoL,38099.0,-3.7994,3.5528,-85.1499,-5.0363,-2.9024,-1.5042,0.0,-3.1974,26.5031,0.0353
p,Under20p,moreN,same,2to9,LtoH,38099.0,8.5564,11.9421,0.0,4.0422,6.365,10.1596,1037.3976,40.9371,3135.0063,0.0612
p,Under20p,moreN,same,2to9,OC/LH,38097.0,-15.6191,46.4785,-99.302,-54.1362,-22.2754,19.6281,100.0,0.395,-0.8057,0.7376
p,Over20p,moreN,same,2to9,OtoC,289.0,1.6374,8.862,-25.2267,-2.7656,0.1235,4.6368,66.3583,2.5704,13.9694,0.074
p,Over20p,moreN,same,2to9,OtoH,289.0,8.9912,14.606,0.0,1.9304,4.386,11.6667,177.877,6.3836,63.8297,0.0974
p,Over20p,moreN,same,2to9,OtoL,289.0,-5.0703,4.9841,-44.9227,-7.0064,-3.5092,-1.5718,0.0,-2.5969,14.0685,0.0543
p,Over20p,moreN,same,2to9,LtoH,289.0,15.0251,15.5612,1.89,6.903,11.4994,17.3944,181.4456,5.6141,49.2542,0.1049
p,Over20p,moreN,same,2to9,OC/LH,289.0,1.9931,42.6549,-88.2174,-33.4895,0.7417,36.2927,100.0,-0.0751,-0.9089,0.6978
p,Under20p,moreN,diff,2to9,OtoC,26712.0,104.7877,17222.8628,-81.3725,-2.7952,-0.7558,1.0805,2814870.5882,163.438,26711.9949,0.0388
p,Under20p,moreN,diff,2to9,OtoH,26712.0,278.9737,44988.5263,0.0,0.7209,2.0487,4.4586,7352841.1765,163.4381,26711.999,0.0374
p,Under20p,moreN,diff,2to9,OtoL,26712.0,-3.4529,3.4678,-88.2353,-4.5558,-2.548,-1.2724,0.0,-3.8615,41.1294,0.0328
p,Under20p,moreN,diff,2to9,LtoH,26712.0,2347.3367,382407.2056,0.0,3.4795,5.6656,9.1696,62499900.0,163.4381,26712.0,0.0569
p,Under20p,moreN,diff,2to9,OC/LH,26710.0,-13.3383,47.5785,-99.9544,-53.0237,-17.6524,21.7189,100.0,0.338,-0.7625,0.7474
n,Under20p,moreP,same,2to9,OtoC,12165.0,1194.4324,131766.8602,-80.0,-2.3396,-0.3081,1.555,14533233.3333,110.2951,12164.9999,0.0389
n,Under20p,moreP,same,2to9,OtoH,12165.0,3428.7441,377773.6146,0.0,0.9335,2.1942,4.3204,41666566.6667,110.2951,12165.0,0.0339
n,Under20p,moreP,same,2to9,OtoL,12165.0,-3.3087,3.9977,-83.3333,-4.3478,-2.3841,-1.061,0.0,-6.5658,88.1459,0.0329
n,Under20p,moreP,same,2to9,LtoH,12165.0,5145.2416,566660.8562,0.1439,3.4218,5.5361,8.6484,62499900.0,110.2951,12165.0,0.0523
n,Under20p,moreP,same,2to9,OC/LH,12165.0,-4.804,47.8121,-99.2687,-44.0701,-7.1,32.6182,100.0,0.1969,-0.8806,0.7669
p,Over20p,moreP,same,2to9,OtoC,19821.0,0.7271,4.3937,-35.2137,-1.0,0.4981,2.3881,298.1583,18.085,1136.5926,0.0339
p,Over20p,moreP,same,2to9,OtoH,19821.0,3.4827,4.9407,0.0,1.1029,2.336,4.517,311.6474,22.1089,1098.9947,0.0341
p,Over20p,moreP,same,2to9,OtoL,19821.0,-2.6277,2.9258,-52.0897,-3.3646,-1.8153,-0.8104,0.0,-3.23,19.7438,0.0255
p,Over20p,moreP,same,2to9,LtoH,19821.0,6.379,6.3453,0.3276,3.2659,4.8839,7.7011,316.2471,15.6053,553.5304,0.0444
p,Over20p,moreP,same,2to9,OC/LH,19821.0,10.6979,45.3416,-98.3254,-24.9869,12.0714,47.4143,100.0,-0.117,-0.9209,0.724
