signal_t,numsig_ratio,num_PvsN,t-1vst,OCt-1Over2p,target,parameter,count,mean,std,min,25%,50%,75%,max,skew,kurtosis,IQR
n,Under20p,moreN,diff,under2p,2to9,OtoC,75078.0,-0.0006,3.623,-56.1957,-1.7107,-0.1348,1.4433,70.0622,1.1562,18.0136,0.0315
n,Under20p,moreN,diff,under2p,2to9,OtoH,75078.0,2.767,3.5615,0.0,0.7646,1.7792,3.5095,131.9588,6.0527,97.9954,0.0274
n,Under20p,moreN,diff,under2p,2to9,OtoL,75078.0,-2.4799,2.6119,-99.9966,-3.3368,-1.8107,-0.7981,0.0,-4.1356,54.9093,0.0254
n,Under20p,moreN,diff,under2p,2to9,LtoH,75078.0,45.6926,11027.2064,0.0,2.863,4.3665,6.6445,3021500.0,274.0036,75077.9746,0.0378
n,Under20p,moreN,diff,under2p,2to9,OC/LH,75074.0,-1.9121,48.3099,-99.9722,-42.4108,-4.1311,37.5727,100.0,0.114,-1.0267,0.7998
n,Under20p,moreN,diff,over2p,2to9,OtoC,40408.0,69.7847,14119.6116,-67.9054,-2.6975,-0.6742,1.2122,2838287.0968,201.0174,40407.987,0.0391
n,Under20p,moreN,diff,over2p,2to9,OtoH,40408.0,203.4349,40117.9793,0.0,0.7984,2.1739,4.6072,8064416.129,201.0174,40407.9978,0.0381
n,Under20p,moreN,diff,over2p,2to9,OtoL,40408.0,-3.4321,3.6932,-87.0968,-4.5573,-2.4948,-1.1603,0.0,-4.3943,45.2255,0.034
n,Under20p,moreN,diff,over2p,2to9,LtoH,40408.0,1554.4592,310917.8036,0.0,3.5099,5.7948,9.3334,62499900.0,201.0174,40407.9999,0.0582
n,Under20p,moreN,diff,over2p,2to9,OC/LH,40406.0,-11.2579,47.7457,-99.4286,-50.1071,-15.7026,24.1597,100.0,0.3256,-0.7484,0.7427
n,Under20p,moreN,same,under2p,2to9,OtoC,92275.0,0.0442,3.5749,-75.0,-1.5467,0.0,1.5068,93.0818,0.7216,30.1894,0.0305
n,Under20p,moreN,same,under2p,2to9,OtoH,92275.0,2.5664,3.3627,0.0,0.7277,1.736,3.2029,168.9578,7.2751,153.7785,0.0248
n,Under20p,moreN,same,under2p,2to9,OtoL,92275.0,-2.3985,2.8079,-99.9735,-3.1701,-1.7178,-0.6434,0.0,-4.7942,62.4423,0.0253
n,Under20p,moreN,same,under2p,2to9,LtoH,92275.0,9.2973,1250.2902,0.0,2.5407,4.0158,6.312,379800.0,303.76,92271.7652,0.0377
n,Under20p,moreN,same,under2p,2to9,OC/LH,92245.0,1.7971,50.1292,-99.9678,-38.6368,0.0,42.019,100.0,0.0479,-0.9117,0.8066
n,Under20p,moreN,same,over2p,2to9,OtoC,17744.0,1402.6096,109292.5264,-73.3333,-2.7156,-0.3097,1.931,9658788.8889,79.6087,6451.8981,0.0465
n,Under20p,moreN,same,over2p,2to9,OtoH,17744.0,3984.873,310915.3484,0.0,1.0989,2.5181,5.0752,27777677.7778,80.1393,6555.0414,0.0398
n,Under20p,moreN,same,over2p,2to9,OtoL,17744.0,-4.0917,4.9904,-76.6667,-5.27,-2.7027,-1.2885,0.0,-4.5085,35.7022,0.0398
n,Under20p,moreN,same,over2p,2to9,LtoH,17744.0,10575.9277,812624.0001,0.0,3.9159,6.6251,10.5274,62499900.0,76.8939,5911.3328,0.0661
n,Under20p,moreN,same,over2p,2to9,OC/LH,17742.0,-5.4653,49.5226,-98.6301,-44.7391,-5.3107,30.5343,100.0,0.2131,-0.7043,0.7527
n,Under20p,moreP,diff,under2p,2to9,OtoC,10159.0,-0.1289,4.1368,-72.9965,-2.0679,-0.3731,1.3731,61.78,1.2332,25.9064,0.0344
n,Under20p,moreP,diff,under2p,2to9,OtoH,10159.0,3.1869,4.2993,0.0,0.8437,1.9544,3.9603,114.5923,6.294,92.7997,0.0312
n,Under20p,moreP,diff,under2p,2to9,OtoL,10159.0,-2.7996,2.8172,-78.2979,-3.7296,-2.128,-1.0027,0.0,-5.5164,99.5174,0.0273
